class,family,genus,species,spanish_name,english_name
Magnoliopsida,Caprifoliaceae,Lonicera,etrusca,,Etruscan honeysuckle
Magnoliopsida,Caprifoliaceae,Lonicera,implexa,,
Magnoliopsida,Caprifoliaceae,Lonicera,nigra,,
Magnoliopsida,Caprifoliaceae,Lonicera,periclymenum,Madreselva,Honeysuckle
Magnoliopsida,Caprifoliaceae,Lonicera,xylosteum,,Fly honeysuckle
Magnoliopsida,Caryophyllaceae,Arenaria,pseudoanatolianum,,
Magnoliopsida,Caryophyllaceae,Arenaria,serpyllifolia,Arenaria,Thyme-leaved sandwort
Magnoliopsida,Caryophyllaceae,Cerastium,brachypetalum,,Grey mouse-ear
Magnoliopsida,Caryophyllaceae,Cerastium,dubium,,
Magnoliopsida,Caryophyllaceae,Cerastium,glomeratum,Cerastio,Sticky mouse-ear
Magnoliopsida,Caryophyllaceae,Cerastium,purpurascens,,
Magnoliopsida,Caryophyllaceae,Cerastium,semidecandrum,,Little mouse-ear
Magnoliopsida,Caryophyllaceae,Cerastium,sylvaticum,,
Magnoliopsida,Caryophyllaceae,Cerastium,tomentosum,,Snow-in-summer
Magnoliopsida,Caryophyllaceae,Dianthus,armeria,Clavel silvestre,Deptford pink
Magnoliopsida,Caryophyllaceae,Dianthus,barbatus,Clavel del poeta,Sweet William
Magnoliopsida,Caryophyllaceae,Dianthus,carthusianorum,Clavel cartujo,Carthusian pink
Magnoliopsida,Caryophyllaceae,Dianthus,caryophyllus,Clavel,Carnation
Magnoliopsida,Caryophyllaceae,Dianthus,deltoides,Clavel deltoide,Maiden pink
Magnoliopsida,Caryophyllaceae,Dianthus,hyssopifolius,,
Magnoliopsida,Caryophyllaceae,Dianthus,lusitanus,,
Magnoliopsida,Caryophyllaceae,Dianthus,seguieri,,
Magnoliopsida,Caryophyllaceae,Dianthus,superbus,Clavel magnífico,Superb pink
Magnoliopsida,Caryophyllaceae,Dianthus,sylvestris,Clavel silvestre,Wood pink
Magnoliopsida,Caryophyllaceae,Gypsophila,bermejae,,
Magnoliopsida,Caryophyllaceae,Gypsophila,elegans,Velo de novia,Annual baby's breath
Magnoliopsida,Caryophyllaceae,Gypsophila,paniculata,Velo de novia,Baby's breath
Magnoliopsida,Caryophyllaceae,Gypsophila,plosa,,
Magnoliopsida,Caryophyllaceae,Herniaria,hirsuta,,Hairy rupturewort
Magnoliopsida,Caryophyllaceae,Lychnis,coronaria,Coronaria,Rose campion
Magnoliopsida,Caryophyllaceae,Lychnis,flos-jovis,,Flower of Jove
Magnoliopsida,Caryophyllaceae,Lychnis,viscaria,Lychnis glutinosa,Sticky catchfly
Magnoliopsida,Caryophyllaceae,Minuartia,capillacea,,
Magnoliopsida,Caryophyllaceae,Minuartia,laricifolia,,
Magnoliopsida,Caryophyllaceae,Minuartia,verna,,Spring sandwort
Magnoliopsida,Caryophyllaceae,Moehringia,muscosa,,
Magnoliopsida,Caryophyllaceae,Moehringia,trinervia,,Three-nerved sandwort
Magnoliopsida,Caryophyllaceae,Paronychia,argentea,,
Magnoliopsida,Caryophyllaceae,Paronychia,capitata,,
Magnoliopsida,Caryophyllaceae,Petrorhagia,saxifraga,,
Magnoliopsida,Caryophyllaceae,Saponaria,bellidifolia,,
Magnoliopsida,Caryophyllaceae,Saponaria,ocymoides,Jabonera roja,Rock soapwort
Magnoliopsida,Caryophyllaceae,Saponaria,officinalis,Jabonera,Soapwort
Magnoliopsida,Caryophyllaceae,Saponaria,pumilio,,
Magnoliopsida,Caryophyllaceae,Scleranthus,annuus,,Annual knawel
Magnoliopsida,Caryophyllaceae,Scleranthus,perennis,,Perennial knawel
Magnoliopsida,Caryophyllaceae,Silene,acaulis,Tapizante,Moss campion
Magnoliopsida,Caryophyllaceae,Silene,alba,,White campion
Magnoliopsida,Caryophyllaceae,Silene,armeria,,Sweet william catchfly
Magnoliopsida,Caryophyllaceae,Silene,baccifera,,
Magnoliopsida,Caryophyllaceae,Silene,cebennensis,,
Magnoliopsida,Caryophyllaceae,Silene,colorata,,
Magnoliopsida,Caryophyllaceae,Silene,compacta,,
Magnoliopsida,Caryophyllaceae,Silene,conica,,Cone silene
Magnoliopsida,Caryophyllaceae,Silene,coronaria,,Rose campion
Magnoliopsida,Caryophyllaceae,Silene,dichotoma,,
Magnoliopsida,Caryophyllaceae,Silene,dioica,Colleja roja,Red campion
Magnoliopsida,Caryophyllaceae,Silene,flos-cuculi,Flor del cuclillo,Ragged robin
Magnoliopsida,Caryophyllaceae,Silene,flos-jovis,,
Magnoliopsida,Caryophyllaceae,Silene,gallica,,Small-flowered catchfly
Magnoliopsida,Caryophyllaceae,Silene,hifacensis,,
Magnoliopsida,Caryophyllaceae,Silene,latifolia,Colleja,White campion
Magnoliopsida,Caryophyllaceae,Silene,legionensis,,
Magnoliopsida,Caryophyllaceae,Silene,longicaulis,,
Magnoliopsida,Caryophyllaceae,Silene,naceflora,,
Magnoliopsida,Caryophyllaceae,Silene,nocturna,,
Magnoliopsida,Caryophyllaceae,Silene,nutans,,Nottingham catchfly
Magnoliopsida,Caryophyllaceae,Silene,otites,,Spanish catchfly
Magnoliopsida,Caryophyllaceae,Silene,palestina,,
Magnoliopsida,Caryophyllaceae,Silene,pendula,,
Magnoliopsida,Caryophyllaceae,Silene,rupestris,,
Magnoliopsida,Caryophyllaceae,Silene,saxifraga,,
Magnoliopsida,Caryophyllaceae,Silene,sennenii,,
Magnoliopsida,Caryophyllaceae,Silene,tatarora,,
Magnoliopsida,Caryophyllaceae,Silene,tomentosa,,
Magnoliopsida,Caryophyllaceae,Silene,uniflora,,Sea campion
Magnoliopsida,Caryophyllaceae,Silene,vulgaris,Colleja,Bladder campion
Magnoliopsida,Caryophyllaceae,Silene,widrifida,,
Magnoliopsida,Caryophyllaceae,Spergula,arvensis,Espérgula,Corn spurrey
Magnoliopsida,Caryophyllaceae,Spergularia,media,,Greater sea-spurrey
Magnoliopsida,Caryophyllaceae,Spergularia,rubra,Esparguina roja,Sand spurrey
Magnoliopsida,Caryophyllaceae,Stellaria,dolce,,
Magnoliopsida,Caryophyllaceae,Stellaria,graminea,,Lesser stitchwort
Magnoliopsida,Caryophyllaceae,Stellaria,holostea,Alsine mayor,Greater stitchwort
Magnoliopsida,Caryophyllaceae,Stellaria,media,Pamplina,Chickweed
Magnoliopsida,Caryophyllaceae,Stellaria,nemorum,,Wood stitchwort
Magnoliopsida,Caryophyllaceae,Telephium,imperati,,
Magnoliopsida,Caryophyllaceae,Velezio,rigida,,
Magnoliopsida,Celastraceae,Euonymus,europaeus,Bonetero,Spindle
Magnoliopsida,Celastraceae,Euonymus,latifolius,,Broad-leaved spindle
Magnoliopsida,Cleomaceae,Cleome,violacea,,
Liliopsida,Colchicaceae,Androcymbium,gramineum,,
Liliopsida,Colchicaceae,Colchicum,autumnale,Quitameriendas,Meadow saffron
Magnoliopsida,Convolvulaceae,Calystegia,sepium,Correhuela mayor,Hedge bindweed
Magnoliopsida,Convolvulaceae,Convolvulus,arvensis,Correhuela,Field bindweed
Magnoliopsida,Convolvulaceae,Convolvulus,cantabricus,,
Magnoliopsida,Convolvulaceae,Convolvulus,humilis,,
Magnoliopsida,Convolvulaceae,Convolvulus,lineatus,,
Magnoliopsida,Convolvulaceae,Convolvulus,siculus,,
Magnoliopsida,Convolvulaceae,Convolvulus,soldanella,,Sea bindweed
Magnoliopsida,Convolvulaceae,Convolvulus,tricolor,Campanilla tricolor,Dwarf morning glory
Magnoliopsida,Convolvulaceae,Cuscuta,epithymum,Cuscuta del tomillo,Dodder
Magnoliopsida,Convolvulaceae,Cuscuta,europaea,Cuscuta europea,Greater dodder
Magnoliopsida,Cornaceae,Cornus,mas,Cornejo macho,Cornelian cherry
Magnoliopsida,Cornaceae,Cornus,sanguinea,Cornejo sanguíneo,Dogwood
Magnoliopsida,Crassulaceae,Aeonium,arboreum,Bejeque arbóreo,Tree houseleek
Magnoliopsida,Crassulaceae,Cotyledon,umbilicus-veneris,Ombligo de Venus,Navelwort
Magnoliopsida,Crassulaceae,Crassula,campestris,,
Magnoliopsida,Crassulaceae,Crassula,vaillantii,,
Magnoliopsida,Crassulaceae,Rhodiola,rosea,,Roseroot
Magnoliopsida,Crassulaceae,Sedum,acre,Pimentilla,Biting stonecrop
Magnoliopsida,Crassulaceae,Sedum,album,Sedo blanco,White stonecrop
Magnoliopsida,Crassulaceae,Sedum,alpestre,,Alpine stonecrop
Magnoliopsida,Crassulaceae,Sedum,apeninum,,
Magnoliopsida,Crassulaceae,Sedum,dasyphyllum,,Thick-leaved stonecrop
Magnoliopsida,Crassulaceae,Sedum,rubens,,Reddish stonecrop
Magnoliopsida,Crassulaceae,Sedum,sediforme,,
Magnoliopsida,Crassulaceae,Sedum,sexangulare,,Tasteless stonecrop
Magnoliopsida,Crassulaceae,Sedum,stellatum,,
Magnoliopsida,Crassulaceae,Sedum,villosum,,Hairy stonecrop
Magnoliopsida,Crassulaceae,Sempervivum,tectorum,Siempreviva mayor,House leek
Magnoliopsida,Cucurbitaceae,Bryonia,alba,Brionia blanca,White bryony
Magnoliopsida,Cucurbitaceae,Bryonia,dioica,Brionia,Red bryony
Magnoliopsida,Cucurbitaceae,Cucumis,melo,Melón,Melon
Magnoliopsida,Cucurbitaceae,Cucumis,sativus,Pepino,Cucumber
Magnoliopsida,Cucurbitaceae,Cucurbita,maxima,Calabaza,Pumpkin
Magnoliopsida,Cucurbitaceae,Cucurbita,pepo,Calabacín,Marrow / Zucchini
Pinopsida,Cupressaceae,Cupressus,sempervirens,Ciprés,Italian cypress
Pinopsida,Cupressaceae,Juniperus,communis,Enebro,Common juniper
Pinopsida,Cupressaceae,Juniperus,oxycedrus,Enebro de la miera,Prickly juniper
Pinopsida,Cupressaceae,Juniperus,phoenicea,Sabina mora,Phoenicean juniper
Pinopsida,Cupressaceae,Juniperus,sabina,Sabina rastrera,Savin
Pinopsida,Cupressaceae,Juniperus,thurifera,Sabina albar,Spanish juniper
Liliopsida,Cyperaceae,Carex,acuta,,Slender tufted sedge
Liliopsida,Cyperaceae,Carex,alba,,White sedge
Liliopsida,Cyperaceae,Carex,brachystachys,,
Liliopsida,Cyperaceae,Carex,brizoides,,
Liliopsida,Cyperaceae,Carex,buekii,,
Liliopsida,Cyperaceae,Carex,buxbaumii,,
Liliopsida,Cyperaceae,Carex,capillaris,,
Liliopsida,Cyperaceae,Carex,cespitosa,,
Liliopsida,Cyperaceae,Carex,cuprina,,
Liliopsida,Cyperaceae,Carex,davaliana,,
Liliopsida,Cyperaceae,Carex,demissa,,
Liliopsida,Cyperaceae,Carex,diandra,,
Liliopsida,Cyperaceae,Carex,digitata,,Fingered sedge
Liliopsida,Cyperaceae,Carex,distans,,Distant sedge
Liliopsida,Cyperaceae,Carex,divulsa,,
Liliopsida,Cyperaceae,Carex,echinata,,Star sedge
Liliopsida,Cyperaceae,Carex,elata,,Tufted sedge
Liliopsida,Cyperaceae,Carex,flacca,,Glaucous sedge
Liliopsida,Cyperaceae,Carex,flava,,Yellow sedge
Liliopsida,Cyperaceae,Carex,hostiana,,Tawny sedge
Liliopsida,Cyperaceae,Carex,humilis,,Dwarf sedge
Liliopsida,Cyperaceae,Carex,lachenalii,,
Liliopsida,Cyperaceae,Carex,laevigata,,
Liliopsida,Cyperaceae,Carex,leporina,,
Liliopsida,Cyperaceae,Carex,limosa,,
Liliopsida,Cyperaceae,Carex,liparocarpos,,
Liliopsida,Cyperaceae,Carex,montana,,
Liliopsida,Cyperaceae,Carex,muricata,,
Liliopsida,Cyperaceae,Carex,myosuroides,,
Liliopsida,Cyperaceae,Carex,paniculata,,Greater tussock sedge
Liliopsida,Cyperaceae,Carex,pauciflora,,
Liliopsida,Cyperaceae,Carex,pendula,,Pendulous sedge
Liliopsida,Cyperaceae,Carex,pilosa,,
Liliopsida,Cyperaceae,Carex,pseudocyperus,,Cyperus sedge
Liliopsida,Cyperaceae,Carex,remota,,Remote sedge
Liliopsida,Cyperaceae,Carex,rostrata,,Bottle sedge
Liliopsida,Cyperaceae,Carex,sempervirens,,
Liliopsida,Cyperaceae,Carex,spicata,,
Liliopsida,Cyperaceae,Carex,stenophylla,,
Liliopsida,Cyperaceae,Carex,strigosa,,Thin-spiked wood sedge
Liliopsida,Cyperaceae,Carex,sylvatica,,Wood sedge
Liliopsida,Cyperaceae,Carex,vaginata,,
Liliopsida,Cyperaceae,Carex,vulpina,,True fox sedge
Liliopsida,Cyperaceae,Cyperus,esculentus,Chufa,Chufa / Tiger nut
Liliopsida,Cyperaceae,Cyperus,fuscus,,
Liliopsida,Cyperaceae,Cyperus,glomeratus,,
Liliopsida,Cyperaceae,Cyperus,longus,Juncia larga,Galingale
Liliopsida,Cyperaceae,Cyperus,rotundus,Juncia,Purple nutsedge
Liliopsida,Cyperaceae,Rhynchospora,alba,,White beak-sedge
Polypodiopsida,Dennstaedtiaceae,Pteridium,aquilinum,Helecho águila,Bracken
Liliopsida,Dioscoreaceae,Dioscorea,communis,,Black bryony
Magnoliopsida,Dipsacaceae,Cephalaria,alpina,Cephalaria alpina,
Magnoliopsida,Dipsacaceae,Cephalaria,gigantea,Cephalaria gigante,
Magnoliopsida,Dipsacaceae,Cephalaria,leucantha,,
Magnoliopsida,Dipsacaceae,Cephalaria,syriaca,,
Magnoliopsida,Dipsacaceae,Dipsacus,fullonum,Cardencha,Wild teasel
Magnoliopsida,Dipsacaceae,Dipsacus,laciniatus,Cardencha laciniada,
Magnoliopsida,Dipsacaceae,Dipsacus,pilosus,Cardencha peluda,Small teasel
Magnoliopsida,Dipsacaceae,Knautia,drymeia,,
Magnoliopsida,Dipsacaceae,Knautia,longifolia,,
Magnoliopsida,Dipsacaceae,Knautia,maxima,,
Magnoliopsida,Dipsacaceae,Knautia,montana,Viudilla de montaña,
Magnoliopsida,Dipsacaceae,Scabiosa,atropurpurea,Escabiosa,Mournful widow
Magnoliopsida,Dipsacaceae,Scabiosa,columbaria,Escabiosa,Small scabious
Magnoliopsida,Dipsacaceae,Scabiosa,triandra,Escabiosa triandra,
Magnoliopsida,Dipsacaceae,Succisa,pratensis,Escabiosa del diablo,Devil's-bit scabious
Magnoliopsida,Droseraceae,Drosera,intermedia,,Oblong-leaved sundew
Magnoliopsida,Droseraceae,Drosera,rotundifolia,Rocío del sol,Round-leaved sundew
Polypodiopsida,Dryopteridaceae,Dryopteris,affinis,Helecho real,Scaly male-fern
Polypodiopsida,Dryopteridaceae,Dryopteris,filix-mas,Helecho macho,Male fern
Polypodiopsida,Dryopteridaceae,Polystichum,aculeatum,,Hard shield fern
Magnoliopsida,Ebenaceae,Diospyros,lotus,Caqui de Oriente,Caucasian persimmon
Magnoliopsida,Elaeagnaceae,Hippophae,rhamnoides,Espino amarillo,Sea buckthorn
Equisetopsida,Equisetaceae,Equisetum,arvense,Cola de caballo,Field horsetail
Equisetopsida,Equisetaceae,Equisetum,fluviatile,,Water horsetail
Equisetopsida,Equisetaceae,Equisetum,hyemale,,Rough horsetail
Equisetopsida,Equisetaceae,Equisetum,palustre,Cola de caballo de pantano,Marsh horsetail
Equisetopsida,Equisetaceae,Equisetum,sylvaticum,,Wood horsetail
Magnoliopsida,Ericaceae,Andromeda,polifolia,Andromeda,Bog rosemary
Magnoliopsida,Ericaceae,Arbutus,unedo,Madroño,Strawberry tree
Magnoliopsida,Ericaceae,Arctostaphylos,uva-ursi,Gayuba,Bearberry
Magnoliopsida,Ericaceae,Calluna,vulgaris,Brecina,Heather
Magnoliopsida,Ericaceae,Cassiope,hypnoides,,
Magnoliopsida,Ericaceae,Corema,album,Camarina blanca,
Magnoliopsida,Ericaceae,Erica,arborea,Brezo arbóreo,Tree heather
Magnoliopsida,Ericaceae,Erica,cinerea,Brezo cinéreo,Bell heather
Magnoliopsida,Ericaceae,Erica,scoparia,Brezo morisco,Besom heath
Magnoliopsida,Ericaceae,Erica,terminalis,,Corsican heath
Magnoliopsida,Ericaceae,Erica,tetralix,Brezo de pantano,Cross-leaved heath
Magnoliopsida,Ericaceae,Erica,vagans,Brezo de Cornualles,Cornish heath
Magnoliopsida,Ericaceae,Rhododendron,ferrugineum,Rododendro,Alpenrose
Magnoliopsida,Ericaceae,Rhododendron,hirsutum,,Hairy alpenrose
Magnoliopsida,Euphorbiaceae,Euphorbia,amygdaloides,Lechetrezna de bosque,Wood spurge
Magnoliopsida,Euphorbiaceae,Euphorbia,characias,Lechetrezna,Mediterranean spurge
Magnoliopsida,Euphorbiaceae,Euphorbia,cyparissias,Lechetrezna de ciprés,Cypress spurge
Magnoliopsida,Euphorbiaceae,Euphorbia,dendroides,Lechetrezna arborescente,Tree spurge
Magnoliopsida,Euphorbiaceae,Euphorbia,dulcis,,Sweet spurge
Magnoliopsida,Euphorbiaceae,Euphorbia,essula,,
Magnoliopsida,Euphorbiaceae,Euphorbia,falcata,,
Magnoliopsida,Euphorbiaceae,Euphorbia,helioscopia,Lechetrezna de jardín,Sun spurge
Magnoliopsida,Euphorbiaceae,Euphorbia,hyberna,,Irish spurge
Magnoliopsida,Euphorbiaceae,Euphorbia,nicaeensis,,
Magnoliopsida,Euphorbiaceae,Euphorbia,paralias,Lechetrezna marítima,Sea spurge
Magnoliopsida,Euphorbiaceae,Euphorbia,pithyusa,Lechetrezna de pino,
Magnoliopsida,Euphorbiaceae,Euphorbia,seguieriana,,
Magnoliopsida,Euphorbiaceae,Euphorbia,serrata,Lechetrezna serrada,
Magnoliopsida,Euphorbiaceae,Euphorbia,stricta,,
Magnoliopsida,Euphorbiaceae,Mercurialis,annua,Mercurial anual,Annual mercury
Magnoliopsida,Euphorbiaceae,Mercurialis,perennis,Mercurial vivaz,Dog's mercury
Magnoliopsida,Fabaceae,Adenocarpus,complicatus,,
Magnoliopsida,Fabaceae,Adenocarpus,decorticans,Codeso de Sierra Nevada,
Magnoliopsida,Fabaceae,Anthyllis,barba-jovis,,Jupiter's beard
Magnoliopsida,Fabaceae,Anthyllis,cytisoides,,
Magnoliopsida,Fabaceae,Anthyllis,montana,Vulneraria de montaña,
Magnoliopsida,Fabaceae,Anthyllis,vulneraria,Vulneraria,Kidney vetch
Magnoliopsida,Fabaceae,Astragalus,alpinus,Astrágalo alpino,Alpine milkvetch
Magnoliopsida,Fabaceae,Astragalus,amalecitanus,,
Magnoliopsida,Fabaceae,Astragalus,cicer,Astrágalo,Chickpea milkvetch
Magnoliopsida,Fabaceae,Astragalus,falcatus,,
Magnoliopsida,Fabaceae,Astragalus,glycyphyllos,Regaliz silvestre,Wild liquorice
Magnoliopsida,Fabaceae,Astragalus,leoninus,,
Magnoliopsida,Fabaceae,Astragalus,monspessulanus,Astrágalo de Montpellier,
Magnoliopsida,Fabaceae,Astragalus,onobrychis,,
Magnoliopsida,Fabaceae,Astragalus,penduliflorus,,
Magnoliopsida,Fabaceae,Astragalus,tragacantha,,Tragacanth
Magnoliopsida,Fabaceae,Bituminaria,bituminosa,Tedera,Pitch trefoil
Magnoliopsida,Fabaceae,Cajanus,cajan,Guandul,Pigeon pea
Magnoliopsida,Fabaceae,Calicotome,villosa,,
Magnoliopsida,Fabaceae,Cercis,siliquastrum,Árbol del amor,Judas tree
Magnoliopsida,Fabaceae,Cicer,arietinum,Garbanzo,Chickpea
Magnoliopsida,Fabaceae,Colutea,arborescens,Espantalobos,Bladder senna
Magnoliopsida,Fabaceae,Coronilla,coronata,,
Magnoliopsida,Fabaceae,Coronilla,emerus,Coronila,Scorpion senna
Magnoliopsida,Fabaceae,Coronilla,juncea,,
Magnoliopsida,Fabaceae,Coronilla,minima,,
Magnoliopsida,Fabaceae,Coronilla,scorpioides,Coronila,
Magnoliopsida,Fabaceae,Coronilla,valentina,Coronila de Valencia,
Magnoliopsida,Fabaceae,Coronilla,vaginalis,,
Magnoliopsida,Fabaceae,Coronilla,varia,Coronila,Crown vetch
Magnoliopsida,Fabaceae,Cytisus,balansae,,
Magnoliopsida,Fabaceae,Cytisus,oromediterraneus,,
Magnoliopsida,Fabaceae,Cytisus,purgans,Piorno serrano,
Magnoliopsida,Fabaceae,Cytisus,scoparius,Retama negra,Broom
Magnoliopsida,Fabaceae,Cytisus,striatus,,
Magnoliopsida,Fabaceae,Cytisus,villosus,,
Magnoliopsida,Fabaceae,Dorycnium,hirsutum,,
Magnoliopsida,Fabaceae,Dorycnium,pentaphyllum,,
Magnoliopsida,Fabaceae,Genista,florida,,
Magnoliopsida,Fabaceae,Genista,hispanica,Aliaga,Spanish gorse
Magnoliopsida,Fabaceae,Genista,januensis,,
Magnoliopsida,Fabaceae,Genista,pilosa,,
Magnoliopsida,Fabaceae,Genista,radiata,Genista radiada,
Magnoliopsida,Fabaceae,Genista,sagittalis,,
Magnoliopsida,Fabaceae,Genista,tinctoria,Retama de tintoreros,Dyer's greenweed
Magnoliopsida,Fabaceae,Genista,umbellata,,
Magnoliopsida,Fabaceae,Glycyrrhiza,glabra,Regaliz,Liquorice
Magnoliopsida,Fabaceae,Hippocrepis,comosa,Hierba de herraduras,Horseshoe vetch
Magnoliopsida,Fabaceae,Laburnum,alpinum,,Scotch laburnum
Magnoliopsida,Fabaceae,Laburnum,anagyroides,Lluvia de oro,Common laburnum
Magnoliopsida,Fabaceae,Lathyrus,annuus,,
Magnoliopsida,Fabaceae,Lathyrus,aphaca,Alverjilla,Yellow vetchling
Magnoliopsida,Fabaceae,Lathyrus,cicera,Almorta menor,Chickling vetch
Magnoliopsida,Fabaceae,Lathyrus,clymenum,,
Magnoliopsida,Fabaceae,Lathyrus,hirsutus,,Hairy vetchling
Magnoliopsida,Fabaceae,Lathyrus,latifolius,Guisante de olor silvestre,Broad-leaved everlasting pea
Magnoliopsida,Fabaceae,Lathyrus,montanus,Almorta de montaña,Bitter vetch
Magnoliopsida,Fabaceae,Lathyrus,niger,,Black pea
Magnoliopsida,Fabaceae,Lathyrus,odoratus,Guisante de olor,Sweet pea
Magnoliopsida,Fabaceae,Lathyrus,pratensis,Almorta de prado,Meadow vetchling
Magnoliopsida,Fabaceae,Lathyrus,sativus,Almorta,Grass pea
Magnoliopsida,Fabaceae,Lathyrus,sphaericus,,
Magnoliopsida,Fabaceae,Lathyrus,sylvestris,Almorta silvestre,Narrow-leaved everlasting pea
Magnoliopsida,Fabaceae,Lathyrus,vernus,Almorta de primavera,Spring vetchling
Magnoliopsida,Fabaceae,Lens,culinaris,Lenteja,Lentil
Magnoliopsida,Fabaceae,Lens,nigricans,,
Magnoliopsida,Fabaceae,Lotus,corniculatus,Cuernecillo,Bird's-foot trefoil
Magnoliopsida,Fabaceae,Lotus,glaber,,
Magnoliopsida,Fabaceae,Lotus,hirsutus,,Hairy bird's-foot trefoil
Magnoliopsida,Fabaceae,Lotus,montanus,,
Magnoliopsida,Fabaceae,Lotus,ornithopodioides,,
Magnoliopsida,Fabaceae,Lotus,pedunculatus,,Greater bird's-foot trefoil
Magnoliopsida,Fabaceae,Lotus,tenuis,,
Magnoliopsida,Fabaceae,Lotus,tetragonolobus,Guisante cuadrangular,Winged pea
Magnoliopsida,Fabaceae,Medicago,arabica,,Spotted medick
Magnoliopsida,Fabaceae,Medicago,arborea,Alfalfa arborescente,Tree medick
Magnoliopsida,Fabaceae,Medicago,falcata,,Sickle medick
Magnoliopsida,Fabaceae,Medicago,littoralis,,
Magnoliopsida,Fabaceae,Medicago,lupulina,Lupulina,Black medick
Magnoliopsida,Fabaceae,Medicago,minima,,Bur medick
Magnoliopsida,Fabaceae,Medicago,monspeliaca,,
Magnoliopsida,Fabaceae,Medicago,muriculata,,
Magnoliopsida,Fabaceae,Medicago,orbicularis,,
Magnoliopsida,Fabaceae,Medicago,polymorpha,,
Magnoliopsida,Fabaceae,Medicago,rigidula,,
Magnoliopsida,Fabaceae,Medicago,sativa,Alfalfa,Lucerne
Magnoliopsida,Fabaceae,Medicago,truncatula,,
Magnoliopsida,Fabaceae,Melilotus,albus,Trébol de Alejandría,White melilot
Magnoliopsida,Fabaceae,Melilotus,indicus,,
Magnoliopsida,Fabaceae,Melilotus,officinalis,Meliloto,Common melilot
Magnoliopsida,Fabaceae,Melilotus,sulcatus,,
Magnoliopsida,Fabaceae,Onobrychis,caput-galli,,
Magnoliopsida,Fabaceae,Onobrychis,saxatilis,,
Magnoliopsida,Fabaceae,Onobrychis,supina,,
Magnoliopsida,Fabaceae,Onobrychis,viciifolia,Esparceta,Sainfoin
Magnoliopsida,Fabaceae,Ononis,minutissima,,
Magnoliopsida,Fabaceae,Ononis,natrix,Ononis,Yellow restharrow
Magnoliopsida,Fabaceae,Ononis,pusilla,,
Magnoliopsida,Fabaceae,Ononis,reclinata,,
Magnoliopsida,Fabaceae,Ononis,rotundifolia,,
Magnoliopsida,Fabaceae,Ononis,spinosa,Gatuña,Spiny restharrow
Magnoliopsida,Fabaceae,Ononis,spinosa ssp. arvensis,,
Magnoliopsida,Fabaceae,Oxytropis,campestris,Oxytropis,Yellow oxytropis
Magnoliopsida,Fabaceae,Oxytropis,pilosa,,
Magnoliopsida,Fabaceae,Retama,monosperma,,White weeping broom
Magnoliopsida,Fabaceae,Retama,sphaerocarpa,Retama,Spanish broom
Magnoliopsida,Fabaceae,Robinia,pseudoacacia,Acacia,Black locust
Magnoliopsida,Fabaceae,Scorpiurus,muricatus,,
Magnoliopsida,Fabaceae,Spartium,junceum,Retama de olor,Spanish broom
Magnoliopsida,Fabaceae,Trifolium,alpestre,,
Magnoliopsida,Fabaceae,Trifolium,angustifolium,,
Magnoliopsida,Fabaceae,Trifolium,arvense,Trébol pie de liebre,Hare's-foot clover
Magnoliopsida,Fabaceae,Trifolium,aureum,,Golden clover
Magnoliopsida,Fabaceae,Trifolium,campestre,,Hop trefoil
Magnoliopsida,Fabaceae,Trifolium,dubium,,Lesser trefoil
Magnoliopsida,Fabaceae,Trifolium,fragiferum,Trébol fresa,Strawberry clover
Magnoliopsida,Fabaceae,Trifolium,glomeratum,,
Magnoliopsida,Fabaceae,Trifolium,hybridum,Trébol sueco,Alsike clover
Magnoliopsida,Fabaceae,Trifolium,incarnatum,Trébol encarnado,Crimson clover
Magnoliopsida,Fabaceae,Trifolium,lappaceum,,
Magnoliopsida,Fabaceae,Trifolium,medium,,Zigzag clover
Magnoliopsida,Fabaceae,Trifolium,montanum,Trébol de montaña,Mountain clover
Magnoliopsida,Fabaceae,Trifolium,ochroleucon,,Sulphur clover
Magnoliopsida,Fabaceae,Trifolium,pratense,Trébol rojo,Red clover
Magnoliopsida,Fabaceae,Trifolium,repens,Trébol blanco,White clover
Magnoliopsida,Fabaceae,Trifolium,rubens,,Red feather clover
Magnoliopsida,Fabaceae,Trifolium,stellatum,,Starry clover
Magnoliopsida,Fabaceae,Trifolium,strictum,,
Magnoliopsida,Fabaceae,Trifolium,subterraneum,Trébol subterráneo,Subterranean clover
Magnoliopsida,Fabaceae,Trifolium,tomentosum,,Woolly clover
Magnoliopsida,Fabaceae,Trigonella,balansae,,
Magnoliopsida,Fabaceae,Trigonella,elegans,,
Magnoliopsida,Fabaceae,Trigonella,foenum-graecum,Fenogreco,Fenugreek
Magnoliopsida,Fabaceae,Trigonella,foenum-graecum ssp. gladiata,,
Magnoliopsida,Fabaceae,Trigonella,polyceratia,,
Magnoliopsida,Fabaceae,Ulex,europaeus,Tojo,Gorse
Magnoliopsida,Fabaceae,Ulex,minor,,Dwarf gorse
Magnoliopsida,Fabaceae,Ulex,parviflorus,Aulaga,
Magnoliopsida,Fabaceae,Vicia,angustifolia,,
Magnoliopsida,Fabaceae,Vicia,articulata,,
Magnoliopsida,Fabaceae,Vicia,benghalensis,,
Magnoliopsida,Fabaceae,Vicia,bithynica,,
Magnoliopsida,Fabaceae,Vicia,cracca,Arveja ratona,Tufted vetch
Magnoliopsida,Fabaceae,Vicia,disperma,,
